judul,tanggal,sumber,url,konten
Google News,,Kompas.id,https://news.google.com/rss/articles/CBMikwFBVV95cUxPV1l3eW5ITkh2MHBUUnl4VkpJUXZXZTRuNnJXaFNPN2tpQXNDaXJkdXMtRV9vdl9UTXJoa1lvNXJ6d293MTVOQzh6QmRvUnBtRjc1eC1MZmZudU1BRVpuSW1lM0g5bWpsbkN2RGNvM093ZFFqSjB4b3VpOURSWHo1emJ1b3BSeUxwZnVJZnllam1CLVU?oc=5,
Google News,,Tempo.co,https://news.google.com/rss/articles/CBMingFBVV95cUxOQ3A3REtlOTVIdno1NDdOMEJtNVgzSjU2YWhHUFFpQWZUdVQ2d3BfUUZycDRHSmpXWmZoVEFSbTdkQVFmbEhKVDNaNWpJb1I2TU5uOEJYN3V2aXRGM1hSRmwzMlY3NEhlREpoT0F0eWhXVVUxUkt6VzhFVnVHRVdDZ0dYMER5SUd5LUtfa1M4VlVobnpRRGZrZjRUeDdKQQ?oc=5,
Google News,,jatimnow.com,https://news.google.com/rss/articles/CBMinwFBVV95cUxPdVVFV05TeHZDb00xeUY0R1REcUROWXNIU3dUU0RmcFd4S0Q3VEtRc3ktNncwRmp0SXlGbjRiUmF4cHVBX2tpVzdIR18yQ0RZWmpfX2d4dTlPa2VUWHdMT0cxcGoteE1yRUE3VzF4U1Y2U19JTDR1RVRIUWtBaUlnV3VlX3E3c3pkMEZaQnd4OHpGVGx2QUZoTFJEbGVwOEHSAaQBQVVfeXFMTktFTGt3aGhQZGM5OVU0c0Z6RjVWWlFBblJLcm9TajR6V0dxWGw4RVIzakR1V1M0WUxXakZza0JWNzNKX0toTUZDbk1iQW9sNDk1ZHFaRmlXWFlTTGhHRGhLaE14ZUFjRDRwdUN1QzdMTldmejBNQ25vekxQM0ZIdVVMX2xPamRDZ1hsU0prU1kyUThQMFhnTTBiWVl3VXQyY3JzUlI?oc=5,
Google News,,Radar Tulungagung,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPYlBMTW9qQlJpa0xMU1RKTENjLUhvQW9RWTlvbFEtWlJXRVJtTlBNUnpIZ3R2d2ZUaVZINTY5MGZqSVlvSkZsTWw2Umpfa0NrclhjY3dCQkx4eERYcDRVVENwcEtIY3IxR2dSUFJYTWdSdjVOcldBQzlQZXVUS25pUG8xb2tFRm8ydUlXZjhVMjV0QjRVVlpDSVN6bERkdXpYSmYxS0xRdTJBN0FRSmg3bUdqSWs2cmQ0bHBSVVg0cHB5MmZRcHlpRHVjOW04UDNLUGNTTzZGTdIB3AFBVV95cUxPMmh5UFZsOWQ5cWlBNWRwNjFBdVJxN1hBTExpWndKTUlaSDhlS0o0aFBqVGxEX1liNlpYYzREQTJLYUVNSkRCVmMzVkNvdy11UG1RSjk5b2U5WFFNTG1Wbml1R3pOelRzWVFFVE5KVDFycmpTb2NZZzA2SUVMTm1RaTdoanBuZ3NvWVhZaE1paVpBSzlxWkQxRVc0UTUxRVdMVHJ1dHBQMFdtZE5ZMFZ5akp4N1NldlB1NTNNVk5Wb2ZvLThVbVhMQ084UGtYZkdrQXp5M1IwMEg0NWRa?oc=5,
Google News,,TIMES Indonesia,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTEZVOHVuTjNDdnQ0eWZERW92NUNncHpNUThUMXRRcWZGcG8wOURzTGNreWVnc01tRFAyRng4QXFURkpkLThtUFZPWkRXMk9IcUVuZ180OG0wNUk0WGY4R1FfQ2FYcUhDTmRWTUtFNHRwQlNNRUZhVElYREJ6TjRFQnZSdVp4NW5ncVRUMk45MUNjLU93b0JpeGJCRGJwUXNNcXpjYmQycHNnRDA?oc=5,
Google News,,Lintas Biinmaffo,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQTXdDQ0ZTMjVuVGJ3QkU5bkFhdmtYOEhVVHdnT2RkVGZhUjFuQUdBU05VZTd3RXl1cnh0UlpQYnlwZnRjNG9qRVB3ZEVHN2hNUkltQ0F2Rk5DdGl5LXhlVkhXR1h5ZEtHM2tZNkZVeXBNcDBCdGJ6QWNkMzk1M1VDVHY5UXI1RFZ5X3hBMXo3cV9KNURCcDM4eGJGRF94VzlhMElHWF9YbmxINmxRdVJuYTJneTdiSDFDcTU5aktUbUtWaU1XdzBkWjBueTdTb09KazM0czVydGFUMFBiN0dhREhhZEFUb1I1bHNScDVqOW5weUNYU1VjOA?oc=5,
Google News,,pemkab natuna,https://news.google.com/rss/articles/CBMisgFBVV95cUxQOEFRR0l0Z3BMa0dkNFpNQXdYUzh6bkRJdUhUcWp1RHlrb3ZLSUZ2QUx2Z2NEbUM5S1UzV1JzeWswTEFWN1RXODdWTmpVQXdZcTJpRVRVbUwyR0tWci10R0QzMUEwTlA0RkR0aHlEVTJpUVpaNS1YZXQxeHMtTTdqWWtsSndwN2Q1QWFnbExNRjJjNkZNay15YWxmQ0tpUmNzMHc3TUNReGlTUlcxeWw2Y2J3?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMid0FVX3lxTE9lX0pYWDc2MGg4ZUozaXpTSTV5U20yY2xoZmVlWEtQbE5WdXB4UnMyYVVLZ2Y0UjRFSHVQTTl0MTRrRnQ0Y3g4OXpRZ0pMekQwakdNcDBEV2tTMUpGVlpPazRGUkl2RFJuT2haY3VrSGh2X0kwTVZZ?oc=5,
Google News,,banyuasinkab.go.id,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPRW1tbmN5Vmp6X0Z1VmZoS3FKM29UUlZTTUk5aEFJeVAxekRUY1RUQ1phQVlBQVA4WlRtczZaeGxOTnE1MmdfaUg4UVpYWU9QakhoMHJMOG1BZFNKRTd5Mk9WVFRSSTJnVVIydXdkMjBFbHcyVjFFMTNFcUJvNldlbmxEMzdMWXlfNjVrSnRiRmRjRENkUm9VMW43ZmhpMS1YSnJlQ2VxTTVjOExSelN5ZEpQQTJIQm9RUEwzVnEtV05RR09vUEJuM0hQTHBxc0plMG8wNw?oc=5,
Google News,,AsatuNews.co.id,https://news.google.com/rss/articles/CBMif0FVX3lxTE84dDZlUlU4UUM3N3VhbXcyYXJVYllodm43aEd1SjhBQ3NyLU1mVDlSZFNjZGYtYXlsVGxsNGNWZlZ0Qy1wR0ZmeGNjcWp2X0xjZHY5cUhzbndKcmVMaHpPNG9jSXlCSGpNeDdES19nMEpJU29uaTFmOTRoSnZwMzg?oc=5,
Google News,,RM.ID,https://news.google.com/rss/articles/CBMixAFBVV95cUxNRWtFaVdYRm1nSVpubzdfX0xQb3FFemUxck4ySmtXdi03U1lRUzBxRU40OFpEMkZkdTNDbnJfU18wNUdTcXVkdWVTRS01OUFvcTEyaVdMQnprMFZwRnM3WjZIckJvbDRfZmpaTUw1dUtRRW5EZUVNZlpnNkRvYk1IdXVFZDIzRDc0YTRtTl9aYjlLVUJIejVSbmR6UFNvX3FXdllyQnV5am4xVlMtSWppNzNkLUhsV2FTVHl3WTlRMm93NzZ1?oc=5,
Google News,,Ekorantt.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxOcHlEX01LSnh2akYtdkdFb3UzWGZ6M1h6MU9wQkVNUzI4Y1N0TWVZVml2YnFsTTNsbDNkZURMR1kzcXNETEhTZElUT290NEllUEpNZ3JJdG1WX0FTRzFYNkRGdXJOWUtlMnRldGUwaWcwMng0ODFobU1rdjFsdG5BUEJHZ2hCN291VmV4YzZaY3p0QXBWd0VrTWs0MzdqRlZwUjFLUFJQT0t6amEwU0FJ?oc=5,
Google News,,Kompas.id,https://news.google.com/rss/articles/CBMikwFBVV95cUxQRWpqa2x3S2tuQm12YklKejN2OExORnRkYk5XWFFmek8xdmRMZGJhdlRRMjc0VWU2eW8ycDFxMkFtak44X3g3dzl0WjEzWFNNR0xTM0RhcFNuUzZYMWxycWxGRERfN3VSdDFnTjVzXzlIa3FENENSTjJUcUlpUmJsWEd5T3V1UElWaXFRbVZ5ZWNyOVE?oc=5,
Google News,,Tempo.co,https://news.google.com/rss/articles/CBMif0FVX3lxTE5TcWwzOWxKQ3QyUE9LUUNBbTItbnVWUFVUb2J5RzlLNGdIclgwWGpoVTR0V3pidGZ4U08zUUtnSTg4STNmTFBvUEpOUzlDM3JtLWtZNVV6VjlmUU1tbklHcXNXVTNmc1o0TVZaVlpGdzk1MXZ2QWNFQ0lPOWpOQlE?oc=5,
Google News,,AsatuNews.co.id,https://news.google.com/rss/articles/CBMieEFVX3lxTFB5bDAxSzNra2hsSy10aE9Lb1Z3bU1hV1ZEZVZlSXgzNzFLRmpab0M0RndnaUNUcnd0WUpUNTMybUgwU2dxUUY2Sy1MWV9BTVdLMTR0aUh1dVBwQWVvTkZ0QVcwNE1zUEI4SkVLRTFWVXg5cC1nY292Rw?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMie0FVX3lxTE1fbXhrYUpFb1l5Y1VMY2p2bjc2ckJDaWMtQUNIMFVHanIyMExjTllueWwweVBtZHM2NEFXbERxc05OUkk2NTBfVllRQTdXUFVFSURvUXpkdklEZTdXcnNubEpWV2M1VlhzN2tpSHFnUlhhTWYydF82dXllMA?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMickFVX3lxTE92WEkzVHl0clhYaXJTMUpFU0VMcXlIU3dJOVR3MzB5Rnk3WXdhbDNZSEIyQ3NjdGV6R0kxYlhtbllFeTJZcjBQcEpGNGt5cHhBOV83cW5iQWRkd0JBOGgwSDIwUHpTWm9WMWlOMHViN25SZw?oc=5,
Google News,,AsatuNews.co.id,https://news.google.com/rss/articles/CBMidEFVX3lxTE45a3VyRjNDQXdYX3cwZ0Frc0lOcDZpRndaQ1ZiWm9KS044VG9SZE1ZUG9QVzNJV1lnMEVvOVBwb08tSm10aEJYRnNrWjFhOW5idlhtMGhCOWpsUno5Ynd0aWFKLW91czlRMWpjNW9XU254Sjkz?oc=5,
Google News,,Penarakyat.Com,https://news.google.com/rss/articles/CBMipwFBVV95cUxQQXR0enNiUUxmTmpJSXoxY29iNjhma1k4LVlzd2JkLTFwclBJdlZLZW1wdHpUWmhTekZMTzRTYzF4SUVWNTdDYkpLYmJMeEJ3eU0xVmRiNm5Rdk1jTW9rY3JpSXdtRTNQN1VONTZwUGlxQ0ZxNGxPbkoyU0JYUmw4d0l3TWNuUERGcHRlc1lhTDJZQzZla2w4TmYxSXpYQ19nOGZza2hQUQ?oc=5,
